action 1: (3, 4) build type 1
actionProfitValue = 0.191982, totalProfit = 265.744634 => action 666: (7, 1) upgrade
actionProfitValue = 0.191303, totalProfit = 265.936616 => action 667: (3, 4) upgrade
actionProfitValue = 0.190952, totalProfit = 266.127920 => action 668: (3, 3) upgrade
actionProfitValue = 0.190342, totalProfit = 266.318871 => action 669: (1, 4) upgrade
actionProfitValue = 0.189984, totalProfit = 266.509213 => action 670: (3, 2) upgrade
actionProfitValue = 0.189923, totalProfit = 266.699197 => action 671: (1, 5) upgrade
actionProfitValue = 0.189913, totalProfit = 266.889119 => action 672: (6, 3) upgrade
actionProfitValue = 0.189853, totalProfit = 267.079033 => action 673: (1, 0) upgrade
actionProfitValue = 0.189647, totalProfit = 267.268885 => action 674: (5, 3) upgrade
actionProfitValue = 0.189313, totalProfit = 267.458532 => action 675: (5, 4) upgrade
actionProfitValue = 0.189060, totalProfit = 267.647845 => action 676: (7, 2) upgrade
actionProfitValue = 0.189040, totalProfit = 267.836905 => action 677: (1, 1) upgrade
actionProfitValue = 0.188977, totalProfit = 268.025945 => action 678: (3, 1) upgrade
actionProfitValue = 0.188957, totalProfit = 268.214922 => action 679: (5, 2) upgrade
actionProfitValue = 0.188547, totalProfit = 268.403880 => action 680: (3, 5) upgrade
actionProfitValue = 0.188465, totalProfit = 268.592426 => action 681: (1, 2) upgrade
actionProfitValue = 0.187677, totalProfit = 268.780891 => action 682: (6, 1) upgrade
actionProfitValue = 0.187344, totalProfit = 268.968568 => action 683: (3, 6) upgrade
actionProfitValue = 0.187211, totalProfit = 269.155912 => action 684: (6, 0) upgrade
actionProfitValue = 0.187103, totalProfit = 269.343123 => action 685: (7, 6) upgrade
actionProfitValue = 0.186972, totalProfit = 269.530226 => action 686: (5, 0) upgrade
actionProfitValue = 0.186952, totalProfit = 269.717198 => action 687: (7, 5) upgrade
actionProfitValue = 0.186623, totalProfit = 269.904150 => action 688: (3, 7) upgrade
actionProfitValue = 0.186135, totalProfit = 270.090773 => action 689: (1, 6) upgrade
actionProfitValue = 0.185248, totalProfit = 270.276908 => action 690: (6, 6) upgrade
actionProfitValue = 0.185144, totalProfit = 270.462157 => action 691: (6, 4) upgrade
actionProfitValue = 0.184952, totalProfit = 270.647301 => action 692: (6, 5) upgrade
actionProfitValue = 0.184739, totalProfit = 270.832253 => action 693: (5, 5) upgrade
actionProfitValue = 0.184532, totalProfit = 271.016993 => action 694: (1, 3) upgrade
actionProfitValue = 0.183967, totalProfit = 271.201524 => action 695: (5, 1) upgrade
actionProfitValue = 0.183299, totalProfit = 271.385491 => action 696: (5, 6) upgrade
actionProfitValue = 0.183127, totalProfit = 271.568791 => action 697: (3, 4) upgrade
actionProfitValue = 0.182832, totalProfit = 271.751917 => action 698: (3, 3) upgrade
actionProfitValue = 0.182652, totalProfit = 271.934750 => action 699: (7, 3) upgrade
actionProfitValue = 0.182605, totalProfit = 272.117401 => action 700: (1, 4) upgrade
actionProfitValue = 0.182307, totalProfit = 272.300006 => action 701: (3, 2) upgrade
actionProfitValue = 0.182249, totalProfit = 272.482313 => action 702: (1, 5) upgrade
actionProfitValue = 0.182240, totalProfit = 272.664562 => action 703: (1, 1) upgrade
actionProfitValue = 0.181342, totalProfit = 272.846802 => action 704: (3, 1) upgrade
actionProfitValue = 0.181323, totalProfit = 273.028144 => action 705: (5, 3) upgrade
actionProfitValue = 0.181263, totalProfit = 273.209466 => action 706: (6, 2) upgrade
actionProfitValue = 0.181242, totalProfit = 273.390729 => action 707: (7, 4) upgrade
actionProfitValue = 0.181203, totalProfit = 273.571971 => action 708: (3, 6) upgrade
actionProfitValue = 0.179647, totalProfit = 273.753174 => action 709: (6, 3) upgrade
actionProfitValue = 0.179192, totalProfit = 273.932821 => action 710: (1, 0) upgrade
actionProfitValue = 0.178792, totalProfit = 274.112013 => action 711: (7, 1) upgrade
actionProfitValue = 0.178729, totalProfit = 274.290805 => action 712: (5, 4) upgrade
actionProfitValue = 0.178445, totalProfit = 274.469533 => action 713: (7, 2) upgrade
actionProfitValue = 0.178425, totalProfit = 274.647978 => action 714: (7, 0) upgrade
actionProfitValue = 0.177963, totalProfit = 274.826403 => action 715: (5, 2) upgrade
actionProfitValue = 0.177960, totalProfit = 275.004366 => action 716: (3, 5) upgrade
actionProfitValue = 0.177677, totalProfit = 275.182326 => action 717: (1, 2) upgrade
actionProfitValue = 0.176934, totalProfit = 275.360003 => action 718: (6, 0) upgrade
actionProfitValue = 0.176597, totalProfit = 275.536937 => action 719: (7, 6) upgrade
actionProfitValue = 0.176474, totalProfit = 275.713534 => action 720: (5, 0) upgrade
actionProfitValue = 0.176455, totalProfit = 275.890008 => action 721: (7, 5) upgrade
actionProfitValue = 0.176144, totalProfit = 276.066463 => action 722: (1, 3) upgrade
actionProfitValue = 0.176144, totalProfit = 276.242607 => action 723: (3, 7) upgrade
actionProfitValue = 0.175481, totalProfit = 276.418751 => action 724: (3, 3) upgrade
actionProfitValue = 0.175272, totalProfit = 276.594232 => action 725: (3, 4) upgrade
actionProfitValue = 0.175058, totalProfit = 276.769504 => action 726: (6, 1) upgrade
actionProfitValue = 0.175030, totalProfit = 276.944562 => action 727: (1, 4) upgrade
actionProfitValue = 0.174941, totalProfit = 277.119592 => action 728: (3, 2) upgrade
actionProfitValue = 0.174885, totalProfit = 277.294533 => action 729: (1, 5) upgrade
actionProfitValue = 0.174877, totalProfit = 277.469418 => action 730: (6, 6) upgrade
actionProfitValue = 0.174748, totalProfit = 277.644295 => action 731: (1, 6) upgrade
actionProfitValue = 0.174645, totalProfit = 277.819043 => action 732: (6, 4) upgrade
actionProfitValue = 0.174567, totalProfit = 277.993689 => action 733: (6, 5) upgrade
actionProfitValue = 0.174366, totalProfit = 278.168256 => action 734: (5, 5) upgrade
actionProfitValue = 0.174170, totalProfit = 278.342622 => action 735: (1, 1) upgrade
actionProfitValue = 0.174015, totalProfit = 278.516792 => action 736: (3, 1) upgrade
actionProfitValue = 0.173996, totalProfit = 278.690807 => action 737: (5, 3) upgrade
actionProfitValue = 0.173556, totalProfit = 278.864803 => action 738: (5, 1) upgrade
actionProfitValue = 0.173007, totalProfit = 279.038359 => action 739: (5, 6) upgrade
actionProfitValue = 0.172844, totalProfit = 279.211366 => action 740: (3, 6) upgrade
actionProfitValue = 0.172389, totalProfit = 279.384210 => action 741: (7, 3) upgrade
actionProfitValue = 0.172352, totalProfit = 279.556599 => action 742: (6, 2) upgrade
actionProfitValue = 0.171065, totalProfit = 279.728950 => action 743: (7, 4) upgrade
actionProfitValue = 0.171028, totalProfit = 279.900015 => action 744: (6, 3) upgrade
actionProfitValue = 0.169130, totalProfit = 280.071043 => action 745: (1, 3) upgrade
actionProfitValue = 0.168655, totalProfit = 280.240174 => action 746: (1, 0) upgrade
actionProfitValue = 0.168558, totalProfit = 280.408828 => action 747: (5, 4) upgrade
actionProfitValue = 0.168425, totalProfit = 280.577386 => action 748: (7, 2) upgrade
actionProfitValue = 0.168407, totalProfit = 280.745811 => action 749: (3, 3) upgrade
actionProfitValue = 0.168190, totalProfit = 280.914218 => action 750: (7, 0) upgrade
actionProfitValue = 0.167971, totalProfit = 281.082408 => action 751: (5, 2) upgrade
actionProfitValue = 0.167967, totalProfit = 281.250379 => action 752: (1, 4) upgrade
actionProfitValue = 0.167873, totalProfit = 281.418346 => action 753: (3, 2) upgrade
actionProfitValue = 0.167819, totalProfit = 281.586219 => action 754: (1, 5) upgrade
actionProfitValue = 0.167811, totalProfit = 281.754038 => action 755: (3, 4) upgrade
actionProfitValue = 0.167614, totalProfit = 281.921849 => action 756: (3, 5) upgrade
actionProfitValue = 0.167507, totalProfit = 282.089463 => action 757: (1, 1) upgrade
actionProfitValue = 0.166984, totalProfit = 282.256970 => action 758: (7, 1) upgrade
actionProfitValue = 0.166980, totalProfit = 282.423954 => action 759: (3, 1) upgrade
actionProfitValue = 0.166966, totalProfit = 282.590934 => action 760: (1, 2) upgrade
actionProfitValue = 0.166807, totalProfit = 282.757900 => action 761: (6, 0) upgrade
actionProfitValue = 0.166681, totalProfit = 282.924707 => action 762: (7, 6) upgrade
actionProfitValue = 0.166565, totalProfit = 283.091389 => action 763: (5, 0) upgrade
actionProfitValue = 0.166547, totalProfit = 283.257953 => action 764: (7, 5) upgrade
actionProfitValue = 0.166254, totalProfit = 283.424500 => action 765: (5, 3) upgrade
actionProfitValue = 0.166176, totalProfit = 283.590754 => action 766: (3, 7) upgrade
actionProfitValue = 0.165437, totalProfit = 283.756930 => action 767: (3, 6) upgrade
actionProfitValue = 0.165423, totalProfit = 283.922367 => action 768: (6, 6) upgrade
actionProfitValue = 0.164936, totalProfit = 284.087790 => action 769: (6, 4) upgrade
actionProfitValue = 0.164765, totalProfit = 284.252727 => action 770: (1, 6) upgrade
actionProfitValue = 0.164648, totalProfit = 284.417492 => action 771: (6, 5) upgrade
actionProfitValue = 0.164576, totalProfit = 284.582140 => action 772: (5, 5) upgrade
actionProfitValue = 0.164391, totalProfit = 284.746716 => action 773: (6, 1) upgrade
actionProfitValue = 0.163524, totalProfit = 284.911106 => action 774: (5, 1) upgrade
actionProfitValue = 0.163293, totalProfit = 285.074631 => action 775: (5, 6) upgrade
actionProfitValue = 0.163139, totalProfit = 285.237924 => action 776: (7, 3) upgrade
actionProfitValue = 0.162674, totalProfit = 285.401062 => action 777: (1, 3) upgrade
actionProfitValue = 0.161483, totalProfit = 285.563736 => action 778: (6, 2) upgrade
actionProfitValue = 0.161460, totalProfit = 285.725219 => action 779: (7, 4) upgrade
actionProfitValue = 0.161425, totalProfit = 285.886679 => action 780: (3, 3) upgrade
actionProfitValue = 0.161394, totalProfit = 286.048104 => action 781: (1, 4) upgrade
actionProfitValue = 0.161090, totalProfit = 286.209498 => action 782: (3, 2) upgrade
actionProfitValue = 0.161039, totalProfit = 286.370588 => action 783: (1, 5) upgrade
actionProfitValue = 0.161031, totalProfit = 286.531627 => action 784: (3, 4) upgrade
actionProfitValue = 0.160487, totalProfit = 286.692658 => action 785: (1, 1) upgrade
actionProfitValue = 0.160237, totalProfit = 286.853145 => action 786: (3, 1) upgrade
actionProfitValue = 0.160220, totalProfit = 287.013382 => action 787: (6, 3) upgrade
actionProfitValue = 0.159634, totalProfit = 287.173602 => action 788: (5, 3) upgrade
actionProfitValue = 0.159110, totalProfit = 287.333236 => action 789: (5, 4) upgrade
actionProfitValue = 0.158967, totalProfit = 287.492346 => action 790: (7, 2) upgrade
actionProfitValue = 0.158951, totalProfit = 287.651313 => action 791: (1, 0) upgrade
actionProfitValue = 0.158910, totalProfit = 287.810264 => action 792: (3, 6) upgrade
actionProfitValue = 0.158740, totalProfit = 287.969174 => action 793: (7, 0) upgrade
actionProfitValue = 0.158539, totalProfit = 288.127914 => action 794: (5, 2) upgrade
actionProfitValue = 0.158536, totalProfit = 288.286453 => action 795: (3, 5) upgrade
actionProfitValue = 0.157919, totalProfit = 288.444989 => action 796: (6, 0) upgrade
actionProfitValue = 0.157322, totalProfit = 288.602908 => action 797: (1, 2) upgrade
actionProfitValue = 0.157259, totalProfit = 288.760230 => action 798: (7, 6) upgrade
actionProfitValue = 0.157212, totalProfit = 288.917489 => action 799: (5, 0) upgrade
actionProfitValue = 0.157195, totalProfit = 289.074700 => action 800: (7, 5) upgrade
actionProfitValue = 0.156919, totalProfit = 289.231895 => action 801: (7, 1) upgrade
actionProfitValue = 0.156004, totalProfit = 289.388814 => action 802: (3, 7) upgrade
actionProfitValue = 0.155967, totalProfit = 289.544818 => action 803: (6, 6) upgrade
actionProfitValue = 0.155675, totalProfit = 289.700785 => action 804: (6, 4) upgrade
actionProfitValue = 0.155513, totalProfit = 289.856460 => action 805: (6, 5) upgrade
actionProfitValue = 0.155335, totalProfit = 290.011974 => action 806: (1, 6) upgrade
actionProfitValue = 0.155224, totalProfit = 290.167308 => action 807: (5, 5) upgrade
actionProfitValue = 0.155160, totalProfit = 290.322533 => action 808: (3, 3) upgrade
actionProfitValue = 0.154873, totalProfit = 290.477693 => action 809: (1, 3) upgrade
actionProfitValue = 0.154617, totalProfit = 290.632566 => action 810: (1, 4) upgrade
actionProfitValue = 0.154582, totalProfit = 290.787183 => action 811: (3, 2) upgrade
actionProfitValue = 0.154532, totalProfit = 290.941764 => action 812: (1, 5) upgrade
actionProfitValue = 0.154525, totalProfit = 291.096297 => action 813: (5, 1) upgrade
actionProfitValue = 0.154124, totalProfit = 291.250821 => action 814: (5, 6) upgrade
actionProfitValue = 0.153978, totalProfit = 291.404945 => action 815: (1, 1) upgrade
actionProfitValue = 0.153763, totalProfit = 291.558923 => action 816: (3, 1) upgrade
actionProfitValue = 0.153747, totalProfit = 291.712686 => action 817: (3, 4) upgrade
actionProfitValue = 0.153664, totalProfit = 291.866433 => action 818: (7, 3) upgrade
actionProfitValue = 0.153540, totalProfit = 292.020096 => action 819: (6, 1) upgrade
actionProfitValue = 0.152776, totalProfit = 292.173636 => action 820: (6, 2) upgrade
actionProfitValue = 0.152394, totalProfit = 292.326411 => action 821: (7, 4) upgrade
actionProfitValue = 0.152361, totalProfit = 292.478805 => action 822: (5, 3) upgrade
actionProfitValue = 0.152345, totalProfit = 292.631166 => action 823: (3, 6) upgrade
actionProfitValue = 0.152326, totalProfit = 292.783511 => action 824: (6, 3) upgrade
actionProfitValue = 0.150670, totalProfit = 292.935837 => action 825: (5, 4) upgrade
actionProfitValue = 0.150042, totalProfit = 293.086507 => action 826: (7, 2) upgrade
actionProfitValue = 0.150026, totalProfit = 293.236548 => action 827: (1, 0) upgrade
actionProfitValue = 0.149814, totalProfit = 293.386574 => action 828: (7, 0) upgrade
actionProfitValue = 0.149637, totalProfit = 293.536387 => action 829: (5, 2) upgrade
actionProfitValue = 0.149634, totalProfit = 293.686025 => action 830: (3, 5) upgrade
actionProfitValue = 0.148880, totalProfit = 293.835659 => action 831: (3, 3) upgrade
actionProfitValue = 0.148616, totalProfit = 293.984539 => action 832: (6, 0) upgrade
actionProfitValue = 0.148488, totalProfit = 294.133155 => action 833: (7, 6) upgrade
actionProfitValue = 0.148385, totalProfit = 294.281643 => action 834: (5, 0) upgrade
actionProfitValue = 0.148368, totalProfit = 294.430027 => action 835: (1, 4) upgrade
actionProfitValue = 0.148336, totalProfit = 294.578396 => action 836: (3, 2) upgrade
actionProfitValue = 0.148288, totalProfit = 294.726732 => action 837: (1, 5) upgrade
actionProfitValue = 0.148281, totalProfit = 294.875020 => action 838: (1, 2) upgrade
actionProfitValue = 0.148258, totalProfit = 295.023300 => action 839: (7, 5) upgrade
actionProfitValue = 0.148108, totalProfit = 295.171558 => action 840: (1, 3) upgrade
actionProfitValue = 0.148043, totalProfit = 295.319666 => action 841: (1, 1) upgrade
actionProfitValue = 0.147550, totalProfit = 295.467708 => action 842: (3, 1) upgrade
actionProfitValue = 0.147535, totalProfit = 295.615259 => action 843: (3, 4) upgrade
actionProfitValue = 0.147129, totalProfit = 295.762793 => action 844: (3, 7) upgrade
actionProfitValue = 0.147040, totalProfit = 295.909923 => action 845: (6, 6) upgrade
actionProfitValue = 0.146934, totalProfit = 296.056963 => action 846: (6, 4) upgrade
actionProfitValue = 0.146781, totalProfit = 296.203897 => action 847: (6, 5) upgrade
actionProfitValue = 0.146612, totalProfit = 296.350678 => action 848: (5, 5) upgrade
actionProfitValue = 0.146447, totalProfit = 296.497290 => action 849: (1, 6) upgrade
actionProfitValue = 0.146339, totalProfit = 296.643737 => action 850: (3, 6) upgrade
actionProfitValue = 0.146171, totalProfit = 296.790077 => action 851: (5, 3) upgrade
actionProfitValue = 0.145867, totalProfit = 296.936248 => action 852: (7, 1) upgrade
actionProfitValue = 0.145750, totalProfit = 297.082115 => action 853: (5, 1) upgrade
actionProfitValue = 0.145470, totalProfit = 297.227865 => action 854: (5, 6) upgrade
actionProfitValue = 0.145333, totalProfit = 297.373334 => action 855: (7, 3) upgrade
actionProfitValue = 0.144919, totalProfit = 297.518667 => action 856: (6, 2) upgrade
actionProfitValue = 0.143837, totalProfit = 297.663585 => action 857: (7, 4) upgrade
actionProfitValue = 0.143806, totalProfit = 297.807422 => action 858: (6, 1) upgrade
actionProfitValue = 0.142733, totalProfit = 297.951228 => action 859: (3, 3) upgrade
actionProfitValue = 0.142611, totalProfit = 298.093961 => action 860: (1, 4) upgrade
actionProfitValue = 0.142342, totalProfit = 298.236572 => action 861: (3, 2) upgrade
actionProfitValue = 0.142297, totalProfit = 298.378914 => action 862: (1, 5) upgrade
actionProfitValue = 0.142290, totalProfit = 298.521211 => action 863: (6, 3) upgrade
actionProfitValue = 0.142210, totalProfit = 298.663501 => action 864: (1, 3) upgrade
actionProfitValue = 0.141748, totalProfit = 298.805711 => action 865: (5, 4) upgrade
actionProfitValue = 0.141617, totalProfit = 298.947459 => action 866: (7, 2) upgrade
actionProfitValue = 0.141601, totalProfit = 299.089076 => action 867: (1, 1) upgrade
actionProfitValue = 0.141589, totalProfit = 299.230677 => action 868: (3, 1) upgrade
actionProfitValue = 0.141574, totalProfit = 299.372266 => action 869: (1, 0) upgrade
actionProfitValue = 0.141239, totalProfit = 299.513839 => action 870: (7, 0) upgrade
actionProfitValue = 0.141235, totalProfit = 299.655078 => action 871: (5, 2) upgrade
actionProfitValue = 0.141232, totalProfit = 299.796313 => action 872: (3, 4) upgrade
actionProfitValue = 0.140873, totalProfit = 299.937545 => action 873: (3, 5) upgrade
actionProfitValue = 0.140358, totalProfit = 300.078418 => action 874: (3, 6) upgrade
actionProfitValue = 0.140265, totalProfit = 300.218776 => action 875: (6, 0) upgrade
actionProfitValue = 0.140151, totalProfit = 300.359042 => action 876: (7, 6) upgrade
actionProfitValue = 0.140052, totalProfit = 300.499192 => action 877: (5, 0) upgrade
actionProfitValue = 0.140037, totalProfit = 300.639245 => action 878: (7, 5) upgrade
actionProfitValue = 0.139791, totalProfit = 300.779282 => action 879: (1, 2) upgrade
actionProfitValue = 0.139771, totalProfit = 300.919073 => action 880: (5, 3) upgrade
actionProfitValue = 0.139664, totalProfit = 301.058845 => action 881: (6, 6) upgrade
actionProfitValue = 0.138683, totalProfit = 301.198509 => action 882: (3, 7) upgrade
actionProfitValue = 0.138624, totalProfit = 301.337193 => action 883: (6, 4) upgrade
actionProfitValue = 0.138540, totalProfit = 301.475816 => action 884: (6, 5) upgrade
actionProfitValue = 0.138380, totalProfit = 301.614356 => action 885: (5, 5) upgrade
actionProfitValue = 0.138225, totalProfit = 301.752736 => action 886: (1, 6) upgrade
actionProfitValue = 0.137963, totalProfit = 301.890961 => action 887: (5, 1) upgrade
actionProfitValue = 0.137301, totalProfit = 302.028924 => action 888: (5, 6) upgrade
actionProfitValue = 0.137172, totalProfit = 302.166225 => action 889: (3, 3) upgrade
actionProfitValue = 0.136849, totalProfit = 302.303397 => action 890: (7, 3) upgrade
actionProfitValue = 0.136781, totalProfit = 302.440246 => action 891: (1, 4) upgrade
actionProfitValue = 0.136591, totalProfit = 302.577027 => action 892: (3, 2) upgrade
actionProfitValue = 0.136547, totalProfit = 302.713619 => action 893: (1, 5) upgrade
actionProfitValue = 0.136541, totalProfit = 302.850166 => action 894: (7, 1) upgrade
actionProfitValue = 0.136169, totalProfit = 302.986707 => action 895: (1, 1) upgrade
actionProfitValue = 0.135868, totalProfit = 303.122876 => action 896: (3, 1) upgrade
actionProfitValue = 0.135854, totalProfit = 303.258744 => action 897: (6, 2) upgrade
actionProfitValue = 0.135760, totalProfit = 303.394598 => action 898: (7, 4) upgrade
actionProfitValue = 0.135731, totalProfit = 303.530358 => action 899: (1, 3) upgrade
actionProfitValue = 0.135720, totalProfit = 303.666089 => action 900: (3, 4) upgrade
actionProfitValue = 0.134883, totalProfit = 303.801809 => action 901: (3, 6) upgrade
actionProfitValue = 0.134598, totalProfit = 303.936693 => action 902: (6, 3) upgrade
actionProfitValue = 0.134225, totalProfit = 304.071291 => action 903: (5, 3) upgrade
actionProfitValue = 0.133726, totalProfit = 304.205516 => action 904: (5, 4) upgrade
actionProfitValue = 0.133665, totalProfit = 304.339242 => action 905: (7, 2) upgrade
actionProfitValue = 0.133650, totalProfit = 304.472906 => action 906: (6, 1) upgrade
actionProfitValue = 0.133351, totalProfit = 304.606557 => action 907: (7, 0) upgrade
actionProfitValue = 0.133305, totalProfit = 304.739908 => action 908: (5, 2) upgrade
actionProfitValue = 0.133302, totalProfit = 304.873212 => action 909: (1, 0) upgrade
actionProfitValue = 0.133154, totalProfit = 305.006514 => action 910: (3, 5) upgrade
actionProfitValue = 0.132324, totalProfit = 305.139669 => action 911: (6, 0) upgrade
actionProfitValue = 0.132281, totalProfit = 305.271993 => action 912: (7, 6) upgrade
actionProfitValue = 0.132189, totalProfit = 305.404274 => action 913: (5, 0) upgrade
actionProfitValue = 0.132174, totalProfit = 305.536462 => action 914: (7, 5) upgrade
actionProfitValue = 0.131942, totalProfit = 305.668637 => action 915: (1, 2) upgrade
actionProfitValue = 0.131771, totalProfit = 305.800579 => action 916: (3, 3) upgrade
actionProfitValue = 0.131320, totalProfit = 305.932350 => action 917: (1, 4) upgrade
actionProfitValue = 0.131072, totalProfit = 306.063669 => action 918: (3, 2) upgrade
actionProfitValue = 0.131030, totalProfit = 306.194742 => action 919: (1, 5) upgrade
actionProfitValue = 0.131024, totalProfit = 306.325772 => action 920: (6, 6) upgrade
actionProfitValue = 0.130896, totalProfit = 306.456796 => action 921: (6, 4) upgrade
actionProfitValue = 0.130761, totalProfit = 306.587693 => action 922: (3, 7) upgrade
actionProfitValue = 0.130689, totalProfit = 306.718453 => action 923: (6, 5) upgrade
actionProfitValue = 0.130610, totalProfit = 306.849142 => action 924: (5, 5) upgrade
actionProfitValue = 0.130463, totalProfit = 306.979752 => action 925: (1, 1) upgrade
actionProfitValue = 0.130378, totalProfit = 307.110215 => action 926: (3, 1) upgrade
actionProfitValue = 0.130364, totalProfit = 307.240594 => action 927: (1, 6) upgrade
actionProfitValue = 0.130066, totalProfit = 307.370958 => action 928: (1, 3) upgrade
actionProfitValue = 0.129949, totalProfit = 307.501024 => action 929: (5, 1) upgrade
actionProfitValue = 0.129592, totalProfit = 307.630974 => action 930: (5, 6) upgrade
actionProfitValue = 0.129470, totalProfit = 307.760566 => action 931: (3, 6) upgrade
actionProfitValue = 0.129160, totalProfit = 307.890035 => action 932: (3, 4) upgrade
actionProfitValue = 0.129148, totalProfit = 308.019195 => action 933: (7, 3) upgrade
actionProfitValue = 0.129101, totalProfit = 308.148343 => action 934: (6, 2) upgrade
actionProfitValue = 0.128138, totalProfit = 308.277444 => action 935: (7, 4) upgrade
actionProfitValue = 0.128110, totalProfit = 308.405582 => action 936: (5, 3) upgrade
actionProfitValue = 0.128039, totalProfit = 308.533691 => action 937: (7, 1) upgrade
actionProfitValue = 0.127218, totalProfit = 308.661731 => action 938: (6, 3) upgrade
actionProfitValue = 0.126688, totalProfit = 308.788949 => action 939: (5, 4) upgrade
actionProfitValue = 0.126159, totalProfit = 308.915637 => action 940: (7, 2) upgrade
actionProfitValue = 0.126146, totalProfit = 309.041797 => action 941: (3, 3) upgrade
actionProfitValue = 0.126014, totalProfit = 309.167943 => action 942: (7, 0) upgrade
actionProfitValue = 0.125819, totalProfit = 309.293957 => action 943: (5, 2) upgrade
actionProfitValue = 0.125817, totalProfit = 309.419776 => action 944: (1, 4) upgrade
actionProfitValue = 0.125777, totalProfit = 309.545593 => action 945: (3, 2) upgrade
actionProfitValue = 0.125736, totalProfit = 309.671370 => action 946: (1, 5) upgrade
actionProfitValue = 0.125730, totalProfit = 309.797106 => action 947: (1, 0) upgrade
actionProfitValue = 0.125533, totalProfit = 309.922836 => action 948: (1, 1) upgrade
actionProfitValue = 0.125110, totalProfit = 310.048369 => action 949: (3, 1) upgrade
actionProfitValue = 0.125097, totalProfit = 310.173479 => action 950: (6, 0) upgrade
actionProfitValue = 0.124853, totalProfit = 310.298576 => action 951: (7, 6) upgrade
actionProfitValue = 0.124766, totalProfit = 310.423430 => action 952: (5, 0) upgrade
actionProfitValue = 0.124753, totalProfit = 310.548196 => action 953: (3, 5) upgrade
actionProfitValue = 0.124750, totalProfit = 310.672948 => action 954: (6, 1) upgrade
actionProfitValue = 0.124585, totalProfit = 310.797698 => action 955: (7, 5) upgrade
actionProfitValue = 0.124534, totalProfit = 310.922284 => action 956: (1, 3) upgrade
actionProfitValue = 0.124424, totalProfit = 311.046817 => action 957: (1, 2) upgrade
actionProfitValue = 0.124229, totalProfit = 311.171241 => action 958: (3, 6) upgrade
actionProfitValue = 0.123941, totalProfit = 311.295470 => action 959: (3, 4) upgrade
actionProfitValue = 0.123657, totalProfit = 311.419411 => action 960: (6, 6) upgrade
actionProfitValue = 0.123547, totalProfit = 311.543068 => action 961: (6, 4) upgrade
actionProfitValue = 0.123418, totalProfit = 311.666614 => action 962: (6, 5) upgrade
actionProfitValue = 0.123277, totalProfit = 311.790032 => action 963: (3, 7) upgrade
actionProfitValue = 0.123208, totalProfit = 311.913309 => action 964: (5, 5) upgrade
actionProfitValue = 0.123138, totalProfit = 312.036517 => action 965: (1, 6) upgrade
actionProfitValue = 0.122621, totalProfit = 312.159655 => action 966: (5, 3) upgrade
actionProfitValue = 0.122595, totalProfit = 312.282276 => action 967: (5, 1) upgrade
actionProfitValue = 0.122315, totalProfit = 312.404871 => action 968: (5, 6) upgrade
actionProfitValue = 0.122200, totalProfit = 312.527187 => action 969: (7, 3) upgrade
actionProfitValue = 0.121852, totalProfit = 312.649387 => action 970: (6, 2) upgrade
actionProfitValue = 0.120942, totalProfit = 312.771239 => action 971: (3, 3) upgrade
actionProfitValue = 0.120923, totalProfit = 312.892181 => action 972: (7, 4) upgrade
actionProfitValue = 0.120916, totalProfit = 313.013104 => action 973: (1, 4) upgrade
actionProfitValue = 0.120695, totalProfit = 313.134020 => action 974: (3, 2) upgrade
actionProfitValue = 0.120656, totalProfit = 313.254715 => action 975: (1, 5) upgrade
actionProfitValue = 0.120650, totalProfit = 313.375371 => action 976: (1, 1) upgrade
actionProfitValue = 0.120055, totalProfit = 313.496021 => action 977: (3, 1) upgrade
actionProfitValue = 0.120043, totalProfit = 313.616076 => action 978: (6, 3) upgrade
actionProfitValue = 0.119575, totalProfit = 313.736119 => action 979: (1, 3) upgrade
actionProfitValue = 0.119133, totalProfit = 313.855694 => action 980: (5, 4) upgrade
actionProfitValue = 0.119076, totalProfit = 313.974827 => action 981: (7, 2) upgrade
actionProfitValue = 0.119063, totalProfit = 314.093903 => action 982: (3, 6) upgrade
actionProfitValue = 0.118934, totalProfit = 314.212966 => action 983: (7, 1) upgrade
actionProfitValue = 0.118856, totalProfit = 314.331899 => action 984: (7, 0) upgrade
actionProfitValue = 0.118755, totalProfit = 314.450755 => action 985: (5, 2) upgrade
actionProfitValue = 0.118752, totalProfit = 314.569510 => action 986: (3, 4) upgrade
actionProfitValue = 0.118398, totalProfit = 314.688262 => action 987: (1, 0) upgrade
actionProfitValue = 0.118347, totalProfit = 314.806661 => action 988: (6, 0) upgrade
actionProfitValue = 0.117843, totalProfit = 314.925008 => action 989: (7, 6) upgrade
actionProfitValue = 0.117760, totalProfit = 315.042851 => action 990: (5, 0) upgrade
actionProfitValue = 0.117748, totalProfit = 315.160611 => action 991: (3, 5) upgrade
actionProfitValue = 0.117609, totalProfit = 315.278359 => action 992: (7, 5) upgrade
actionProfitValue = 0.117541, totalProfit = 315.395968 => action 993: (5, 3) upgrade
actionProfitValue = 0.117382, totalProfit = 315.513509 => action 994: (1, 2) upgrade
actionProfitValue = 0.117118, totalProfit = 315.630892 => action 995: (6, 6) upgrade
actionProfitValue = 0.116609, totalProfit = 315.748010 => action 996: (6, 4) upgrade
actionProfitValue = 0.116488, totalProfit = 315.864619 => action 997: (6, 1) upgrade
